Date,BRL,EGP,TRY
2018-06-26,3.775099992752075,17.871999740600586,4.686999797821045
2018-06-27,3.795799970626831,17.860000610351562,4.613999843597412
2018-06-28,3.860100030899048,17.856000900268555,4.621300220489502
2018-06-29,3.859499931335449,17.862499237060547,4.5904998779296875
2018-07-02,3.8756000995635986,17.870500564575195,4.589890003204346
2018-07-03,3.912600040435791,17.883499145507812,4.616099834442139
2018-07-04,3.8963000774383545,17.878000259399414,4.675099849700928
2018-07-05,3.9110000133514404,17.859500885009766,4.669589996337891
2018-07-06,3.931299924850464,17.862499237060547,4.604269981384277
2018-07-09,3.8659000396728516,17.8435001373291,4.578800201416016
2018-07-10,3.871299982070923,17.88800048828125,4.712470054626465
2018-07-11,3.8150999546051025,17.879499435424805,4.714700222015381
2018-07-12,3.8761000633239746,17.875999450683594,4.889969825744629
2018-07-13,3.88070011138916,17.86750030517578,4.867599964141846
2018-07-16,3.849400043487549,17.878000259399414,4.854949951171875
2018-07-17,3.8559999465942383,17.87700080871582,4.852910041809082
2018-07-18,3.835900068283081,17.86949920654297,4.800300121307373
2018-07-19,3.8492000102996826,17.86750030517578,4.796090126037598
2018-07-20,3.8285000324249268,17.863500595092773,4.801030158996582
2018-07-23,3.7708001136779785,17.839000701904297,4.777910232543945
2018-07-24,3.780400037765503,17.88599967956543,4.7368998527526855
2018-07-25,3.7460999488830566,17.868999481201172,4.881100177764893
2018-07-26,3.6863999366760254,17.878000259399414,4.796599864959717
2018-07-27,3.74429988861084,17.872499465942383,4.869939804077148
2018-07-30,3.7111001014709473,17.804000854492188,4.851329803466797
2018-07-31,3.728100061416626,17.881000518798828,4.882780075073242
2018-08-01,3.753000020980835,17.847000122070312,4.917900085449219
2018-08-02,3.746999979019165,17.861000061035156,4.981249809265137
2018-08-03,3.7483999729156494,17.854999542236328,5.091599941253662
2018-08-06,3.7023000717163086,17.853500366210938,5.10099983215332
2018-08-07,3.734499931335449,17.851499557495117,5.261499881744385
2018-08-08,3.750499963760376,17.861000061035156,5.2591400146484375
2018-08-09,3.7701001167297363,17.840499877929688,5.308899879455566
2018-08-10,3.7995998859405518,17.826799392700195,5.552000045776367
2018-08-13,3.8654000759124756,17.857999801635742,6.817800045013428
2018-08-14,3.881999969482422,17.882999420166016,6.9532999992370605
2018-08-15,3.8643999099731445,17.878000259399414,6.374899864196777
2018-08-16,3.900599956512451,17.867000579833984,5.956989765167236
2018-08-17,3.903899908065796,17.871999740600586,5.85099983215332
2018-08-20,3.9098000526428223,17.866500854492188,6.007999897003174
2018-08-21,3.9660000801086426,17.87849998474121,6.098499774932861
2018-08-22,4.048500061035156,17.847999572753906,6.079699993133545
2018-08-23,4.036900043487549,17.84149932861328,6.0279998779296875
2018-08-24,4.112299919128418,17.842500686645508,6.093800067901611
2018-08-27,4.102799892425537,17.79949951171875,5.980720043182373
2018-08-28,4.077499866485596,17.86949920654297,6.1552300453186035
2018-08-29,4.133900165557861,17.872299194335938,6.26609992980957
2018-08-30,4.105500221252441,17.855499267578125,6.473400115966797
2018-08-31,4.148600101470947,17.798500061035156,6.734099864959717
2018-09-03,4.053699970245361,17.809999465942383,6.583799839019775
2018-09-04,4.154799938201904,17.91550064086914,6.633699893951416
2018-09-05,4.15369987487793,17.88599967956543,6.666200160980225
2018-09-06,4.143099784851074,17.881500244140625,6.5808000564575195
2018-09-07,4.057300090789795,17.85449981689453,6.583700180053711
2018-09-10,4.043799877166748,17.84749984741211,6.4217000007629395
